release_date,title,url,date_retrieved,summary,quotes,institution,file_1,file_2,file_advisor_1,file_advisor_2,news_bool,policy_rev,comments
08/04/2024,THis title is in terms of labour force and economic development,www.test.com,08/04/2024,NO SUMMARY,"""test""",test inc,"Employment, Future Workforce Development and Disability Inclusion",Labour,E. Harper,Y. Zhu,0.0,0.0,
2024-04-08,"B.C. police seizures of medical opioids on the rise, causing concerns safer-supply pills are being diverted",https://www.theglobeandmail.com/canada/british-columbia/article-police-seizure-opioid-medication-bc/,2024-04-08,"```html
<h3>Summary</h3>
<p>Since British Columbia began prescribing hydromorphone as a safer opioid supply, seizures of the drug by police have increased, reaching 408 in 2023. Health Canada's data indicates hydromorphone accounts for about 3% of drug seizures in B.C., while fentanyl comprises nearly 30%. The majority of prescribed hydromorphone (86%) is for pain, with 14% for safer supply. Concerns about diversion to the illicit market have prompted calls for better monitoring. Critics argue for ending such programs, while proponents seek improved safeguards like witnessed dosing.</p>

<h3>Facts</h3>
<ul>
  <li>Hydromorphone seizures in B.C.
    <ul>
      <li>2012-2020: < 100 annually</li>
      <li>2023: 408</li>
    </ul>
  </li>
  <li>Percentage of drug seizures analyzed by Health Canada
    <ul>
      <li>Hydromorphone: 3%</li>
      <li>Fentanyl: nearly 30%</li>
    </ul>
  </li>
  <li>Prescription purposes in B.C.
    <ul>
      <li>Pain: 86%</li>
      <li>Safer supply: 14%</li>
    </ul>
  </li>
  <li>Opioid alternatives dispensed (December)
    <ul>
      <li>Total: 4,212 people</li>
      <li>Hydromorphone recipients: 3,656</li>
    </ul>
  </li>
  <li>Seizure comparison with other provinces
    <ul>
      <li>New Brunswick: 5%</li>
      <li>Nova Scotia: 8%</li>
    </ul>
  </li>
</ul>
```","""Police seizures of hydromorphone have climbed in British Columbia since the province moved to prescribe the opioid as an alternative to toxic, illicit drugs, according to Health Canada data."" - ""Inspector Conor King with the Victoria Police Department said that while the Health Canada data paint a concerning picture about the increase in police seizures of hydromorphone in B.C., the drug accounts for only a tiny fraction of substances seized. """,The Globe and Mail,Health,Justice and Attorney General of Canada,C. MacDonald,S. Phelan,1.0,0.0,
2024-04-08,"Trudeau announces AI spending plan to bolster Canadian infrastructure, computing capacity and safety",https://www.theglobeandmail.com/canada/article-trudeau-announces-ai-spending-plan-to-bolster-canadian-infrastructure/,2024-04-08,"```html
<h3>Summary</h3>
<p>The Canadian government announced a $2.4-billion investment to enhance AI infrastructure, with $2-billion allocated to two initiatives aimed at increasing computing power and access. This investment is part of pre-budget announcements, with full details expected in the upcoming federal budget. The spending plan includes support for industry and researchers, domestic AI development, and safeguards against AI downsides. Additional funds are designated for AI adoption in critical sectors ($200-million), scaling up SMEs through AI ($100-million), workforce skills training ($50-million), a new AI Safety Institute ($50-million), and enforcing AI legislation ($5.1-million).</p>

<h3>Facts</h3>
<ul>
  <li>Total AI Investment
    <ul>
      <li>100% ($2.4-billion)</li>
    </ul>
  </li>
  <li>AI Compute Access Fund and Canadian AI Sovereign Compute Strategy
    <ul>
      <li>83.33% ($2-billion)</li>
    </ul>
  </li>
  <li>AI Adoption in Critical Sectors
    <ul>
      <li>8.33% ($200-million)</li>
    </ul>
  </li>
  <li>SME Productivity through AI
    <ul>
      <li>4.17% ($100-million)</li>
    </ul>
  </li>
  <li>Workforce Skills Training
    <ul>
      <li>2.08% ($50-million)</li>
    </ul>
  </li>
  <li>Canadian AI Safety Institute
    <ul>
      <li>2.08% ($50-million)</li>
    </ul>
  </li>
  <li>Enforcement of AI Legislation
    <ul>
      <li>0.21% ($5.1-million)</li>
    </ul>
  </li>
  <li>Timeframe for Spending
    <ul>
      <li>5 years</li>
    </ul>
  </li>
</ul>
```","""The federal government will spend $2.4-billion to bolster access to critical artificial intelligence infrastructure, build domestic computing capacity and create safeguards against the potential downsides of AI technology, Prime Minister Justin Trudeau announced on Sunday."" - ""Others said past experience with government spending announcements had left them skeptical of Ottawa’s ability to execute on the new promises."" - ""The government did not specify how much of the $2-billion would go to access and how much would go to building domestic computing power."" - ""Canada is ranked fifth in the world for its AI capacity, according to the Tortoise Global AI Index, which measures countries based on a variety of factors. But when ranked on AI infrastructure alone, Canada falls to 23rd."" - ""Some experts said they aren’t convinced Ottawa’s announcement will lead to a material improvement."" - ""Jim Balsillie, a former co-chief executive of BlackBerry Ltd, described the plans as a good idea. But he said the government “has not demonstrated the ability to competently design or implement such investments.”""",The Globe and Mail,"Innovation, Science and Industry",Infrastructure and Communities,E. Harper,M. Emes,1.0,0.0,
2024-04-08,Defence policy update falls short of NATO 2% spending target,https://www.theglobeandmail.com/politics/article-canada-defence-policy-nato/,2024-04-08,"<h3>Summary</h3><p>Canada's new defence policy will increase spending by $8.1-billion over five years, raising defence spending from 1.38% to 1.76% of GDP by 2029-30. Despite this, Canada will not meet the NATO target of 2% of GDP. The spending increase includes significant investments in intelligence, cyber operations, and long-range missile capabilities, and promises to buy new tactical helicopter but it doesn't fund the purchase of new helicopters. The military does face a personnel shortage of nearly 15,000. Two of the most significant spends on new capabilities over the next five years are $917-million to enhance Canada’s intelligence and cyber operations and $401-million for long-range missile capabilities. Under the plan, the gov. is promising to spend more on the basics over the next five year which include&nbsp;$1.9-billion to sustain naval vessels, $1.8-billion on ammunition supply and production, and $1.4-billion on sustaining military equipment.</p><h3>Key Points</h3><ul><li>Defence spending increase<ul><li>27.54% (from 1.38% to 1.76% of GDP)</li><li>$8.1-billion (over five years)<ul><li>Intelligence and cyber operations investment: $917-million</li><li>Long-range missile capabilities investment: $401-million</li><li>Naval vessels sustainment: $1.9-billion</li><li>Ammunition supply and production: $1.8-billion</li><li>Military equipment sustainment: $1.4-billion</li></ul></li></ul></li></ul>","<ul><li>""Canada will spend an additional $8.1-billion on defence in the next five years but will not meet its NATO spending targets and has no existing plans to do so, officials said while unveiling the country’s renewed defence policy.""</li><li>""Officials at a technical briefing said there is no fixed date to hit NATO’s spending targets.""</li></ul>",The Globe and Mail,National Defence,Foreign Affairs,S. Phelan,S. Phelan,1.0,1.0,
2024-04-08,"Canada’s housing crisis poised to worsen without major reforms, RBC report says",https://www.theglobeandmail.com/business/article-canadas-housing-crisis-poised-to-worsen-without-major-reforms-rbc/,2024-04-08,"<h3>Summary</h3><p>Canada faces a severe housing affordability crisis, with RBC reporting a need for 320,000 new housing units annually until 2030—an increase of nearly 50% from current levels. Housing starts decreased to 240,000 in 2023 from 271,000 in 2021 according to figures from Canada Mortgage and Housing Corp. The national benchmark home price is $720,000, up $200,000 since 2020. Ottawa has announced a spate of policy proposals include a $1.5-billion rental fund and a $400-million addition to the Housing Accelerator Fund. Challenges include construction industry capacity, retirement of workers, and material costs. The Bank of Canada may lower interest rates, but this is unlikely to significantly improve affordability.</p><h3>Facts</h3><p>Annual housing units needed</p><ul><li>50% (increase of 80,000 units from recent levels)</li></ul><p>Housing starts</p><ul><li>-11.4% (decrease of 31,000 from 271,000 in 2021 to 240,000 in 2023)</li></ul><p>National benchmark home price</p><ul><li>$720,000 (increase of $200,000 since the outset of 2020)</li></ul><p>Policy proposals</p><ul><li>$1.5-billion (fund to acquire rental units)</li><li>$400-million (addition to the $4-billion Housing Accelerator Fund)</li></ul><p>Construction industry challenges</p><ul><li>20% (of construction workers at or nearing retirement age)</li></ul><p>Interest rate expectations</p><ul><li>Expected decrease (mid-year by the Bank of Canada)</li></ul><p>Household formation projection</p><ul><li>1.9 million (additional households by 2030)</li></ul>","<ul><li>""If anything, Canada is moving in the wrong direction. There were around 240,000 housing unit starts in 2023, down from roughly 271,000 in 2021, according to figures from Canada Mortgage and Housing Corp. This doesn’t bode well for completions over the rest of the decade.""</li><li>""The situation has become a major political headache for various parties, but especially the federal Liberals, who have been languishing in polls for months.""</li><li>""And last September, the federal government removed the GST from new rental construction, a move that was matched by some provinces through the suspension of their own sales taxes.""</li></ul>",The Globe and Mail,Housing and Diversity and Inclusion,Finance and Middle Class Prosperity,D. Hall,E. Harper,1.0,1.0,
